answer_llm,answer_orig,document,question,course
"Yes, sessions are recorded if you miss one. According to the context, everything is recorded, so you won't miss anything. You can ask your questions for office hours in advance and we will cover them during the live stream, or you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are sessions recorded if I miss one?,machine-learning-zoomcamp
"Of course! Based on the information provided in the CONTEXT, the answer to the QUESTION ""Can I ask questions in advance if I can't attend a live stream?"" is:

Yes, you can ask your questions for office hours in advance and we will cover them during the live stream.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I ask questions in advance if I can't attend a live stream?,machine-learning-zoomcamp
"If you miss a session, you won't miss anything as everything is recorded. You can ask your questions for office hours in advance and we will cover them during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How will my questions be addressed if I miss a session?,machine-learning-zoomcamp
"Of course! Based on the information provided in the context, here is the answer to the question:

Is there a way to catch up on a missed session?

Yes, everything is recorded, so you won't miss anything. You can ask your questions for office hours in advance and we will cover them during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp
"Based on the context provided, the answer to the question ""Can I still interact with instructors after missing a session?"" is yes. According to the answer in the FAQ database, everything is recorded, so you won't miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Additionally, you can always ask questions in Slack. This suggests that you can still interact with instructors even if you miss a session.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp
"According to the information provided in the FAQ database, the course covers approximately 4 months of material, with a focus on practical applications rather than extensive theoretical coverage. While some linear algebra concepts will be touched upon, there will be relatively few formulas and most of the course will consist of coding exercises. The course is designed to be accessible to those who may not have a strong background in mathematics, so even if you don't know much math, you can still take the course and benefit from it.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp
"Based on the context provided, it appears that the course will not cover theoretical derivations such as the gradient update rule for logistic regression. The course focuses on practical applications of machine learning and the answers provided in the FAQ confirm this. The answer to the question ""How much theory will you cover?"" states that the course will only cover the bare minimum of theory, and the emphasis will be more on practice rather than theoretical derivations. Therefore, it can be concluded that the course will not delve into detailed mathematical derivations like the gradient update rule for logistic regression.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp
"Based on the information provided in the context, the focus of the course is more on practice than theory. The answer to the question ""How much theory will you cover?"" states that the focus is on the practical application of concepts, rather than deep dives into theoretical frameworks. Additionally, the mention of using Python 3.10 as the recommended version for 2023 cohort suggests that the course will be focused on practical skills rather than pure theory.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp
"
Based on the context provided, the best answer to the question ""Where can I find more about the theoretical topics not covered in this course?"" is:

""There are several resources available for learning more about the theoretical topics not covered in this course. Here are a few recommendations:

1. Alexey Grigorev's Linear Algebra Refresher video series: This is an excellent resource for reviewing linear algebra concepts, which are covered at a gentle pace and with plenty of examples.
2. 3Blue1Brown's Vectors chapter: This playlist provides a comprehensive introduction to vectors and vector operations, which are important for understanding more advanced topics in machine learning.
3. Online courses or tutorials: There are many online courses or tutorials available that cover topics such as linear algebra, calculus, and probability theory at various levels of difficulty. Some popular platforms for finding these resources include Coursera, edX, and Udemy.""","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp
"Based on the provided context, the answer to the question ""Will the course help me understand how to use logistic regression and interpret its results?"" is: Yes. The course will provide a basic understanding of logistic regression and cover how to use it for interpretation purposes. However, it is important to note that the focus of the course is more on practice than theory, so the level of theoretical coverage will be limited.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp
"Based on the context provided, the answer to the question ""Is prior knowledge in math necessary for this course?"" is:

No, prior knowledge in math is not necessary for this course. The course will cover some linear algebra concepts, but there will be very few formulas and mostly code. The instructor has provided links to some videos that can help refresh one's understanding of linear algebra before starting the course. Additionally, the course will move at a pace that allows students to keep up even if they don't have prior knowledge in math.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp
"Based on the provided FAQ database, the type of mathematical content that will be covered in the course includes linear algebra. The answer to the question ""What type of mathematical content will be covered?"" states that the course will cover some linear algebra, but there will be few formulas and mostly code. The links provided in the answer also suggest that linear algebra is a key component of the course.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp
"Based on the provided context, there are several resources available to help with linear algebra:

1. Alexey Grigorev's ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" video and 3Blue1Brown's ""Vectors | Chapter 1, Essence of linear algebra"" playlist are excellent resources for learning or refreshing linear algebra concepts.
2. The course will cover some linear algebra topics, but there will be minimal use of formulas. Instead, the focus will be on coding and practical applications.
3. numpy.matmul() and numpy.dot() functions can be used for matrix multiplication and dot product calculations, respectively. However, @ operator is also preferred for matrix multiplication in some sources.
4. Scikit-Learn provides equivalent functions for linear regression with and without regularization: sklearn.linear_model.LinearRegression and sklearn.linear_model.Ridge, respectively.
5. Pytorch is another deep learning framework that allows creating equivalent tasks as keras, although the syntax may differ slightly. You can find a tutorial on creating a CNN from scratch using pytorch here: <https://blog.paperspace.com/writing-cnns-from-scratch-in-pytorch/>.

In summary, there are multiple resources available to help with linear algebra, and the course will cover some topics but focus on coding and practical applications. numpy.matmul() and numpy.dot() functions can be used for matrix multiplication and dot product calculations, respectively, while Scikit-Learn provides equivalent functions for linear regression with and without regularization. Additionally, pytorch is another deep learning framework that allows creating equivalent tasks as keras.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp
"Based on the context provided, the answer to the question ""Can I seek help from the community for math-related questions?"" is yes. The course instructor, Mélanie Fouesnard, explicitly states that there will be very few formulas in the course, mostly code, and that the community can provide helpful resources for those who need assistance with math-related questions. Additionally, the instructor provides links to external resources such as videos and a FAQ document that can help students better understand the concepts covered in the course. Therefore, it is possible to seek help from the community for math-related questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp
"Based on the given context, there are several recommended videos for learning linear algebra:

1. ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev: This video provides a comprehensive refresher on linear algebra concepts, including vectors, matrices, determinants, and eigendecomposition.
2. The excellent playlist from 3Blue1Brown Vectors | Chapter 1: This playlist offers an introduction to vector spaces, linear transformations, and eigenvalues, all of which are fundamental concepts in linear algebra.

It's important to note that while these videos can provide a helpful introduction to linear algebra, the course will cover some linear algebra in more depth than what is provided in these videos. Additionally, the course will focus on practical applications of linear algebra in machine learning, rather than purely theoretical concepts.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp
"If you haven't received a confirmation email after filling out the form, it's normal and expected as the process is automated. Check your promotions tab in Gmail and spam folder just in case. If you unsubscribed from our newsletter, you might not receive course-related updates, but you can join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements to stay informed.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp
"Based on the provided context, the answer to the question ""Is it possible my confirmation email went to my spam folder?"" is:

Yes, it is possible that your confirmation email went to your spam or promotions folder in Gmail. Check these folders to see if the email is there. If you're still unable to find the confirmation email, you can try contacting the course administrators for assistance.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp
"Great! Based on the provided context, the answer to the question ""Can unsubscribing from the newsletter affect receiving course updates?"" is:

Yes, if you unsubscribe from the newsletter, you may not receive course-related updates. However, don't worry as there are other channels to follow the course, such as joining the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. These are enough to keep up with the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp
"To answer your question, you can get course updates by joining the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. These channels will provide enough information to follow the course, even if you don't receive the confirmation email. Additionally, you can create your own GitHub repository for the course with your notes, homework, projects, etc., and add a link to your own repo under the 'Community Notes' section of the original course repo using pull requests.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp
"To stay informed about the course if you're having email issues, you can join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. These are enough to follow the course. Additionally, you can access course materials by going to the course page (http://mlzoomcamp.com/) and starting to go through the course materials. You can also watch office hours from previous cohorts and check the DTC YouTube channel for playlists related to the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp
"The duration of the course is approximately 4 months, but may take more time if you want to complete extra activities such as an additional project or article. According to the FAQ database, the course is available in a self-paced mode, and the next iterations will start in September 2023 and September 2024 (and potentially other Septembers as well). The deadlines for the 2023 cohort are available on the course page. The course videos are pre-recorded, and occasional office hours - live sessions where instructors will answer questions - are also available.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
"According to the context provided, the course takes approximately 4 months to complete, but may take more time if a student wishes to do additional activities such as extra projects or articles. The next iteration of the course is scheduled to start in September 2023 and September 2024 (and potentially other Septembers as well). The amount of time required for the course is around 10 hours per week, and there are deadlines throughout the course, which can be found on the course page or by clicking on the links provided. Upon joining the course, students can access course materials by going to the course page, scrolling down, and starting with the course materials. Students can also watch office hours from previous cohorts and use the link provided to access the syllabus.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp
"Based on the information provided in the context, the answer to the question ""Can the course take more than 4 months?"" is yes. While the course is approximately 4 months long, there is the option to do extra activities such as an extra project or article, which can extend the duration of the course beyond 4 months. Additionally, the next iterations of the course will start in September 2023 and September 2024, suggesting that the course is available in a self-paced mode where students can go through the materials at any time.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp
"Based on the information provided in the FAQ database, it is possible to extend the course duration. While the course is approximately 4 months long, you may take more time if you want to do some extra activities such as an extra project or article. However, to receive a certificate, you need to submit two out of three course projects and review three peers' projects by the deadline. If you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate. The course is available in self-paced mode, so you can go through the materials at any time, but if you want to do it as a cohort with other students, the next iterations will happen in September 2023 and September 2024 (and potentially other Septembers as well). The course videos are pre-recorded, and there will be occasional live office hours where we will answer your questions.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
"Based on the information provided in the FAQ database, there are several extra activities that could potentially extend the course time:

1. An additional project: The course instructor mentions that students may want to do an extra project as part of the course, which could add extra time to the course duration.
2. Writing an article: Another activity mentioned is writing an article related to the course material, which could also take additional time.

Therefore, the approximate duration of the course might be longer than 4 months if students choose to engage in these extra activities. However, the exact duration will depend on how much time each student spends on these activities.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp
"Based on the provided context, it is recommended to allocate around 10 hours per week for this course. According to Timur Kamaliev's analysis, students of the previous cohort spent an average of 10 hours per week on different modules and projects. However, the actual time required may vary depending on your pace and the complexity of the course materials. It is important to note that the course is approximately 4 months long, but you may take more time if you want to complete extra activities such as an additional project or article.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp
"Based on the context provided, the person who analyzed the time needed for different modules is Timur Kamaliev.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp
"According to the information provided in the FAQ database, students of the previous cohort spent around 10 hours per week on the course.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp
"
Based on the provided context, the estimated weekly time commitment for the course is approximately 10 hours per week. This information can be found in the section ""General course-related questions"" and the answer to the question ""How much time do I need for this course?""",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp
"According to the context provided, you can find the detailed analysis of study time requirements for the course in Timur Kamaliev's article. The exact location of the article is not specified in the context, but based on the information provided, it seems to be available in the cohort folder for your own cohort.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp
"To earn a certificate in this course, you must submit at least two out of three projects and review three peers' projects by the deadline. Even if you join the course late, you can still complete these requirements and receive a certificate. According to the course coordinator, Alexey Grigorev, only two projects are needed to get the course certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp
"Based on the FAQ database provided, the answer to the question ""What are the requirements to receive a certificate?"" is as follows:

To receive a certificate for the course, you must submit at least two out of three course projects and review at least three peers' projects by the deadline. If you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate, even if you miss the midterm project.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"Based on the information provided in the FAQ database, the answer to the question ""Do I need to complete all projects to get a certificate?"" is no. According to Alexey Grigorev, the course coordinator, only two projects are needed to obtain the course certificate. If you have submitted two projects and peer-reviewed at least 3 course-mates' projects for each submission, you will receive the certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp
"Based on the information provided in the FAQ database, the deadline to qualify for the certificate in this course is November 30th. To receive a certificate, you must submit two out of three course projects and review at least three peers' projects by the deadline. If you have submitted two projects and peer-reviewed at least three course-mates' projects for each submission, you will be eligible for a certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp
"Based on the information provided in the FAQ database, the answer to the question ""Is there an option for a certificate without a robot image?"" is yes. According to the context, if you finish at least two out of three projects and review three peers' Projects by the deadline, you will receive a certificate. There is also an option for a version of the certificate without a robot image, as mentioned in the context.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp
"Based on the context provided, the answer to the question ""Will I receive a certificate if I don't complete the midterm project?"" is yes, it is possible to receive a certificate even if you miss the midterm project. According to the course coordinator, Alexey Grigorev, only two projects are needed to get the course certificate. Therefore, if you have submitted two projects and peer-reviewed at least 3 course-mates' projects for each submission, you will be eligible for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"Based on the context provided, the answer to the question ""Can I still graduate without submitting the midterm project?"" is yes. According to the course requirements, you must submit 2 out of 3 course projects and review 3 peers' Projects by the deadline in order to receive a certificate. Since you have already joined the course and are working on two projects, you will still be eligible for a certificate even if you miss the midterm project.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp
"Based on the context provided, the answer to the question ""Am I eligible for certification if I missed the midterm project?"" is Yes. According to the answers in the FAQ database, if you have submitted two projects (and peer-reviewed at least 3 course-mates' projects for each submission), you will get the certificate for the course. Only two projects are needed to get the course certificate, as stated by the course coordinator Alexey Grigorev.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp
"Based on the information provided in the FAQ database, the answer to the question ""Is it mandatory to complete the midterm project for the certificate?"" is no. According to the course coordinator, Alexey Grigorev, only two projects are needed to get the course certificate. Therefore, if you have submitted two projects (and peer-reviewed at least 3 course-mates' projects for each submission), you will be eligible for a certificate, regardless of whether you complete the midterm project or not.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp
"Based on the FAQ database, the answer to the question ""Does missing the midterm project affect my certification eligibility?"" is NO. According to the course coordinator, Alexey Grigorev, only two projects are needed to get a course certificate, and you can still get a certificate if you submit two projects and review three peers' projects by the deadline, even if you missed the midterm project.","Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp
